album_name,album_release_date,track_name,track_number,track_id,explicit,duration_ms,popularity
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Fortnight (feat. Post Malone),1,6dODwocEuGzHAavXqTbwHv,False,228965,74
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Tortured Poets Department,2,4PdLaGZubp4lghChqp8erB,True,293048,72
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,My Boy Only Breaks His Favorite Toys,3,7uGYWMwRy24dm7RUDDhUlD,False,203801,74
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Down Bad,4,1kbEbBdEgQdQeLXCJh28pJ,True,261228,74
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,"So Long, London",5,7wAkQFShJ27V8362MqevQr,False,262974,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,But Daddy I Love Him,6,4QMgEffJQuKtjCNvqfRZ0m,True,340428,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Fresh Out The Slammer,7,7IWcDWOfiooH5hRs9XOVYz,False,210789,71
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Florida!!! (feat. Florence + The Machine),8,5ExOm0dh4NyRyAdSAO9hyM,True,215463,71
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Guilty as Sin?,9,799KrpEbhZp0MHeiA8YK9P,False,254365,75
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Who’s Afraid of Little Old Me?,10,2d8UxVNhJinc8uat9PoM9y,False,334084,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,I Can Fix Him (No Really I Can),11,5chnRTB9qMK3W1M41SnU9s,False,156297,69
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,loml,12,3YkNIrAvbKNrrwwEd7NVLl,True,277156,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,I Can Do It With a Broken Heart,13,2fPvQfGQEZOKtJ9qXeL4x8,True,218004,74
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Smallest Man Who Ever Lived,14,1xtw1krCR6Dw2KwkXw5z63,True,245541,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Alchemy,15,1tuNqJOtRQVHvONR8Lg3MZ,False,196900,71
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Clara Bow,16,4d9PtIEVij9jW5OaLinH66,False,216662,68
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Black Dog,17,62E2nR0od0M5HYxuYLaDz7,True,238857,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,imgonnagetyouback,18,1kcwpPDQnqEqmezzXdJTCP,False,222072,74
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Albatross,19,4EF6IyONolQy0bIQXm2EmX,False,183878,69
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Chloe or Sam or Sophia or Marcus,20,1rmEsOezwf2lmIZTMAO5Ag,False,213281,71
1989 (Taylor's Version) [Deluxe],2023-10-27,Welcome To New York (Taylor's Version),1,4WUepByoeqcedHoYhSNHRt,False,212600,59
1989 (Taylor's Version) [Deluxe],2023-10-27,Blank Space (Taylor's Version),2,0108kcWLnn2HlH2kedi1gn,False,231833,61
1989 (Taylor's Version) [Deluxe],2023-10-27,Style (Taylor's Version),3,3Vpk1hfMAQme8VJ0SNRSkd,False,231000,62
1989 (Taylor's Version) [Deluxe],2023-10-27,Out Of The Woods (Taylor's Version),4,1OcSfkeCg9hRC2sFKB4IMJ,False,235800,60
1989 (Taylor's Version) [Deluxe],2023-10-27,All You Had To Do Was Stay (Taylor's Version),5,2k0ZEeAqzvYMcx9Qt5aClQ,False,193289,59
1989 (Taylor's Version) [Deluxe],2023-10-27,Shake It Off (Taylor's Version),6,50yNTF0Od55qnHLxYsA5Pw,False,219209,59
1989 (Taylor's Version) [Deluxe],2023-10-27,I Wish You Would (Taylor's Version),7,3FxJDucHWdw6caWTKO5b23,False,207650,58
1989 (Taylor's Version) [Deluxe],2023-10-27,Bad Blood (Taylor's Version),8,7oZONwFiFIErZcXAtTu7FY,False,211103,58
1989 (Taylor's Version) [Deluxe],2023-10-27,Wildest Dreams (Taylor's Version),9,27exgla7YBw9DUNNcTIpjy,False,220433,59
1989 (Taylor's Version) [Deluxe],2023-10-27,How You Get The Girl (Taylor's Version),10,733OhaXQIHY7BKtY3vnSkn,False,247533,58
1989 (Taylor's Version) [Deluxe],2023-10-27,This Love (Taylor’s Version),11,4WBEj8TeGtRPNJdOmT3WJW,False,250100,57
1989 (Taylor's Version) [Deluxe],2023-10-27,I Know Places (Taylor's Version),12,1ULabO0PEsdJekqVH6G10G,False,195700,58
1989 (Taylor's Version) [Deluxe],2023-10-27,Clean (Taylor's Version),13,0lKUBmEyQfzsQHozyeXzES,False,271000,59
1989 (Taylor's Version) [Deluxe],2023-10-27,Wonderland (Taylor's Version),14,6HRsJu8vcnzYDN4t0570FY,False,245566,58
1989 (Taylor's Version) [Deluxe],2023-10-27,You Are In Love (Taylor's Version),15,0TyGh27YQ5LknmiDhCzJiT,False,267389,59
1989 (Taylor's Version) [Deluxe],2023-10-27,New Romantics (Taylor's Version),16,5M787RexsAiVYjQusM98CV,False,230177,60
