album_name,track_name,artist,featuring,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,popularity,lyrics,cleaned_lyrics
Taylor Swift,Tim McGraw,Taylor Swift,,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,4,232107,False,C,major,C major,52.0,,
Taylor Swift,Picture To Burn,Taylor Swift,,0.658,0.877,7,-2.098,1,0.0323,0.173,0.0,0.0962,0.821,105.586,4,173067,False,G,major,G major,57.0,,
Taylor Swift,Teardrops On My Guitar,Taylor Swift,,0.621,0.417,10,-6.941,1,0.0231,0.288,0.0,0.119,0.289,99.953,4,203040,False,A#,major,A# major,21.0,,
Taylor Swift,A Place In This World,Taylor Swift,,0.576,0.777,9,-2.881,1,0.0324,0.051,0.0,0.32,0.428,115.028,4,199200,False,A,major,A major,,,
Taylor Swift,Cold As You,Taylor Swift,,0.418,0.482,5,-5.769,1,0.0266,0.217,0.0,0.123,0.261,175.558,4,239013,False,F,major,F major,52.0,,
Taylor Swift,The Outside,Taylor Swift,,0.589,0.805,5,-4.055,1,0.0293,0.00491,0.0,0.24,0.591,112.982,4,207107,False,F,major,F major,50.0,,
Taylor Swift,Tied Together With A Smile,Taylor Swift,,0.479,0.578,2,-4.963,1,0.0294,0.525,0.0,0.0841,0.192,146.165,4,248107,False,D,major,D major,,,
Taylor Swift,Stay Beautiful,Taylor Swift,,0.594,0.629,8,-4.919,1,0.0246,0.0868,0.0,0.137,0.504,131.597,4,236053,False,G#,major,G# major,50.0,,
Taylor Swift,Should've Said No,Taylor Swift,,0.476,0.777,4,-3.771,0,0.0289,0.0103,0.0,0.196,0.472,167.964,4,242200,False,E,minor,E minor,18.0,,
Taylor Swift,Should've Said No,Taylor Swift,,0.476,0.777,4,-3.771,0,0.0289,0.0103,0.0,0.196,0.472,167.964,4,242200,False,E,minor,E minor,57.0,,
Taylor Swift,Mary's Song (Oh My My My),Taylor Swift,,0.403,0.627,2,-5.28,1,0.0292,0.0177,0.0,0.182,0.374,74.9,4,213080,False,D,major,D major,53.0,,
Taylor Swift,Our Song,Taylor Swift,,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,4,201107,False,D,major,D major,32.0,,
Taylor Swift,Our Song,Taylor Swift,,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,4,201107,False,D,major,D major,19.0,,
Taylor Swift,Our Song,Taylor Swift,,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,4,201107,False,D,major,D major,60.0,,
Taylor Swift,I'm Only Me When I'm With You,Taylor Swift,,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964,4,213053,False,G#,major,G# major,52.0,,
Taylor Swift,Invisible,Taylor Swift,,0.612,0.394,7,-5.723,1,0.0243,0.637,0.0,0.147,0.233,96.001,4,203227,False,G,major,G major,50.0,,
Taylor Swift,A Perfectly Good Heart,Taylor Swift,,0.483,0.751,4,-5.726,1,0.0365,0.00349,0.0,0.128,0.268,156.092,4,220147,False,E,major,E major,49.0,,
Taylor Swift,Teardrops On My Guitar (Pop Version),Taylor Swift,,0.459,0.753,10,-3.827,1,0.0537,0.0402,0.0,0.0863,0.483,199.997,4,179067,False,A#,major,A# major,,,
The Taylor Swift Holiday Collection,Last Christmas,Taylor Swift,,0.702,0.77,5,-5.319,1,0.0372,0.31,0.0,0.149,0.685,116.009,4,208253,False,F,major,F major,,"[Chorus]
Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special

[Verse 1]
Once bitten and twice shy
I keep my distance but you still catch my eye
Tell me baby, do you recognize me
Well, it's been a year, it doesn't surprise me
Merry Christmas, I wrapped it up and sent it
With a note saying 'I love you', I meant it
Now I know what a fool I've been
But if you kiss me now, I know you'd fool me again

[Chorus]
Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special
Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special

[Verse 2]
A crowded room and friends with tired eyes
I am hiding from you and your soul of ice
My God, I thought you were someone to rely on
Me, I guess I was a shoulder to cry on
A face on a lover with a fire in his heart
A girl on a cover but you tore her apart
Maybe this year
Maybe this year I'll give it to someone special

[Chorus]
'Cause last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special
Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special

[Bridge]
And last Christmas
And this year
It won't be anything like, anything like

[Outro]
Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I will give it to someone special","Last Christmas I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special Once bitten and twice shy I keep my distance but you still catch my eye Tell me baby, do you recognize me Well, it's been a year, it doesn't surprise me Merry Christmas, I wrapped it up and sent it With a note saying 'I love you', I meant it Now I know what a fool I've been But if you kiss me now, I know you'd fool me again Last Christmas I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special Last Christmas I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special A crowded room and friends with tired eyes I am hiding from you and your soul of ice My God, I thought you were someone to rely on Me, I guess I was a shoulder to cry on A face on a lover with a fire in his heart A girl on a cover but you tore her apart Maybe this year Maybe this year I'll give it to someone special 'Cause last Christmas I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special Last Christmas I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special And last Christmas And this year It won't be anything like, anything like Last Christmas I gave you my heart But the very next day, you gave it away This year, to save me from tears I will give it to someone special"
The Taylor Swift Holiday Collection,Christmases When You Were Mine,Taylor Swift,,0.625,0.206,7,-12.568,1,0.0285,0.646,0.0,0.0915,0.392,79.466,4,184253,False,G,major,G major,,"[Verse 1]
Please take down the mistletoe
'Cause I don't want to think about that right now
'Cause everything I want is miles away
In a snow covered little town
My momma's in the kitchen, worrying about me
Season's greetings, hope you're well
Well I'm doing alright
If you were wondering
Lately I can never tell

[Chorus]
I know this shouldn't be a lonely time
But there were Christmases when you were mine

[Verse 2]
I've been doing fine without you, really
Up until the nights got cold
And everybody's here, except you, baby
Seems like everyone's got someone to hold

[Chorus]
But for me it's just a lonely time
'Cause there were Christmases when you were mine

[Bridge]
Merry Christmas, everybody
That'll have to be something I just say this year

[Verse 3]
I'll bet you got your mom another sweater
And were your cousins late again?
When you were putting up the lights this year
Did you notice one less pair of hands?

[Chorus]
I know this shouldn't be a lonely time
But there were Christmases when I didn't wonder how you are tonight
'Cause there were Christmases when you were mine

[Outro]
You were mine","Please take down the mistletoe 'Cause I don't want to think about that right now 'Cause everything I want is miles away In a snow covered little town My momma's in the kitchen, worrying about me Season's greetings, hope you're well Well I'm doing alright If you were wondering Lately I can never tell I know this shouldn't be a lonely time But there were Christmases when you were mine I've been doing fine without you, really Up until the nights got cold And everybody's here, except you, baby Seems like everyone's got someone to hold But for me it's just a lonely time 'Cause there were Christmases when you were mine Merry Christmas, everybody That'll have to be something I just say this year I'll bet you got your mom another sweater And were your cousins late again? When you were putting up the lights this year Did you notice one less pair of hands? I know this shouldn't be a lonely time But there were Christmases when I didn't wonder how you are tonight 'Cause there were Christmases when you were mine You were mine"
